Candidate,Source,Date,Score
Clinton,ap.org,2016-09-29,-0.34122834088888887
Clinton,ap.org,2016-09-30,-0.37543066429999983
Clinton,ap.org,2016-10-01,-0.1799578803790476
Clinton,ap.org,2016-10-02,-0.35592525091666666
Clinton,ap.org,2016-10-03,-0.22134305380000005
Clinton,ap.org,2016-10-04,-0.23503633015214292
Clinton,ap.org,2016-10-06,-0.331815004
Clinton,ap.org,2016-10-07,-0.3265143962
Clinton,bloomberg.com,2016-08-16,0.44793824475
Clinton,bloomberg.com,2016-08-18,0.004562719119999998
Clinton,bloomberg.com,2016-08-19,0.18681106942374998
Clinton,bloomberg.com,2016-08-20,0.4141862877
Clinton,bloomberg.com,2016-08-21,0.33184266772857146
Clinton,bloomberg.com,2016-08-22,0.3142277622485
Clinton,bloomberg.com,2016-08-23,0.40288867717777777
Clinton,bloomberg.com,2016-08-24,0.1370445517381818
Clinton,bloomberg.com,2016-08-26,0.36780396246
Clinton,bloomberg.com,2016-08-28,0.468012482
Clinton,bloomberg.com,2016-08-30,0.486182988
Clinton,bloomberg.com,2016-08-31,0.1418418037570588
Clinton,bloomberg.com,2016-09-01,0.42823718347500006
Clinton,bloomberg.com,2016-09-02,0.1350203696333333
Clinton,bloomberg.com,2016-09-05,0.19996208275
Clinton,bloomberg.com,2016-09-06,0.2619703706185714
Clinton,bloomberg.com,2016-09-07,0.2622627418111111
Clinton,bloomberg.com,2016-09-08,0.6813395025
Clinton,bloomberg.com,2016-09-09,0.18057874975
Clinton,bloomberg.com,2016-09-10,-0.04763100209166667
Clinton,bloomberg.com,2016-09-13,0.25726798925000005
Clinton,bloomberg.com,2016-09-14,0.26414867628181815
Clinton,bloomberg.com,2016-09-15,0.20900709589999994
Clinton,bloomberg.com,2016-09-16,0.14980582323999997
Clinton,bloomberg.com,2016-09-17,-0.1000169962
Clinton,bloomberg.com,2016-09-19,0.0418872
Clinton,bloomberg.com,2016-09-21,0.44552826985999994
Clinton,bloomberg.com,2016-09-22,0.17154454770000002
Clinton,bloomberg.com,2016-09-23,0.2585716074625
