candidate,date,score
Trump,2016-09-27,-0.147721338335701
Trump,2016-09-28,-0.148429437866064
Trump,2016-09-29,-0.163512249136799
Trump,2016-09-30,-0.179852767341781
Trump,2016-10-01,-0.20480933440306
Trump,2016-10-02,-0.190595300611675
Trump,2016-10-03,-0.187979004642415
Trump,2016-10-04,-0.175372980171305
Trump,2016-10-05,-0.165020708645198
Trump,2016-10-06,-0.185495875709642
Trump,2016-10-07,-0.22203185520469
Trump,2016-10-08,-0.234132450963547
Trump,2016-10-09,-0.23091921357988
Trump,2016-10-10,-0.237784734645482
Trump,2016-10-11,-0.224088851087168
Trump,2016-10-12,-0.249186039471767
Trump,2016-10-13,-0.236062551828508
Trump,2016-10-14,-0.182027428304625
Trump,2016-10-15,-0.200327378247081
Trump,2016-10-16,-0.208807740177544
Trump,2016-10-17,-0.206328309146505
Trump,2016-10-18,-0.208718072483417
Trump,2016-10-19,-0.221068673184241
Trump,2016-10-20,-0.201860527975251
Trump,2016-10-21,-0.171871137059683
Trump,2016-10-22,-0.157769293567982
Trump,2016-10-23,-0.185307445103325
Trump,2016-10-24,-0.199114806901144
Trump,2016-10-25,-0.196156054334728
Trump,2016-10-26,-0.162025452412845
Trump,2016-10-27,-0.181253583958986
Trump,2016-10-28,-0.19751935042392
Trump,2016-10-29,-0.247054388582168
Trump,2016-10-30,-0.223292778799707
Trump,2016-10-31,-0.215927839490723
Trump,2016-11-01,-0.202855541044205
Trump,2016-11-02,-0.175986750858039
Trump,2016-11-03,-0.191763010096611
Trump,2016-11-04,-0.168682589442228
Trump,2016-11-05,-0.138634613330053
Trump,2016-11-06,-0.14395071609724
Trump,2016-11-07,-0.132888600906883
Trump,2016-11-08,-0.107538111736946
