person,bin,sum
Clinton,-1,0
Clinton,-0.9,47
Clinton,-0.8,244
Clinton,-0.7,997
Clinton,-0.6,3381
Clinton,-0.5,11549
Clinton,-0.4,25862
Clinton,-0.3,35248
Clinton,-0.2,33267
Clinton,-0.1,24379
Clinton,0.0,17074
Clinton,0.1,10756
Clinton,0.2,7794
Clinton,0.3,3966
Clinton,0.4,1506
Clinton,0.5,754
Clinton,0.6,455
Clinton,0.7,209
Clinton,0.8,106
Clinton,0.9,70
Clinton,1.0,1
