candidate,source,date,score,count
Clinton,ap.org,2016-08-14,-0.253112097603765,85
Clinton,ap.org,2016-08-15,-0.28184315707561,123
Clinton,ap.org,2016-08-16,-0.219957975764833,48
Clinton,ap.org,2016-08-17,-0.207295004509691,97
Clinton,ap.org,2016-08-18,-0.256182314296154,104
Clinton,ap.org,2016-08-19,-0.233332842702984,62
Clinton,ap.org,2016-08-20,-0.105114764361224,49
Clinton,ap.org,2016-08-21,-0.212382143518518,108
Clinton,ap.org,2016-08-22,-0.229340755995217,92
Clinton,ap.org,2016-08-23,-0.239567380428283,99
Clinton,ap.org,2016-08-24,-0.260582829909677,62
Clinton,ap.org,2016-08-25,-0.249891172227959,196
Clinton,ap.org,2016-08-26,-0.239278402529032,62
Clinton,ap.org,2016-08-27,-0.169683126928947,38
Clinton,ap.org,2016-08-28,-0.166174778580952,42
Clinton,ap.org,2016-08-29,-0.198421159808036,112
Clinton,ap.org,2016-08-30,-0.21553895879697,132
Clinton,ap.org,2016-08-31,-0.244265576041346,104
Clinton,ap.org,2016-09-01,-0.220124514421262,103
Clinton,ap.org,2016-09-02,-0.196932823734694,49
Clinton,ap.org,2016-09-03,-0.15280055957619,42
Clinton,ap.org,2016-09-04,-0.15070199971,44
Clinton,ap.org,2016-09-05,-0.208304641365517,58
Clinton,ap.org,2016-09-06,-0.246239356602907,86
Clinton,ap.org,2016-09-07,-0.257943872984762,105
Clinton,ap.org,2016-09-08,-0.264333093705155,97
Clinton,ap.org,2016-09-09,-0.151892776645098,51
Clinton,ap.org,2016-09-10,-0.197319466617051,78
Clinton,ap.org,2016-09-11,-0.202602074102316,95
Clinton,ap.org,2016-09-12,-0.239877986364102,78
Clinton,ap.org,2016-09-13,-0.229287938369307,101
Clinton,ap.org,2016-09-14,-0.200025454424,75
Clinton,ap.org,2016-09-15,-0.225591547679855,69
Clinton,ap.org,2016-09-16,-0.215564300097143,42
Clinton,ap.org,2016-09-17,-0.213280589904556,90
Clinton,ap.org,2016-09-18,-0.289880557606604,106
Clinton,ap.org,2016-09-19,-0.26858892662029,69
Clinton,ap.org,2016-09-20,-0.255658796029787,47
Clinton,ap.org,2016-09-21,-0.207783520486667,60
Clinton,ap.org,2016-09-22,-0.233107334759415,82
Clinton,ap.org,2016-09-23,-0.239481345704854,103
Clinton,ap.org,2016-09-24,-0.205083794348276,58
Clinton,ap.org,2016-09-25,-0.151812547692203,59
Clinton,ap.org,2016-09-26,-0.1903306475092,100
Clinton,ap.org,2016-09-27,-0.196396592081967,122
Clinton,ap.org,2016-09-28,-0.134400271658621,116
Clinton,ap.org,2016-09-29,-0.228180707457407,108
Clinton,ap.org,2016-09-30,-0.30006738686,116
Clinton,ap.org,2016-10-01,-0.261905347859184,49
Clinton,ap.org,2016-10-02,-0.223499626042253,71
Clinton,ap.org,2016-10-03,-0.24101928815894,217
Clinton,ap.org,2016-10-04,-0.231237954604348,46
Clinton,ap.org,2016-10-05,-0.227517596204737,19
Clinton,ap.org,2016-10-06,-0.290581169159375,64
Clinton,ap.org,2016-10-07,-0.276473499619355,93
Clinton,ap.org,2016-10-08,-0.3403721343,30
Clinton,ap.org,2016-10-09,-0.303784468435,178
Clinton,ap.org,2016-10-10,-0.293611078450376,133
Clinton,ap.org,2016-10-11,-0.26062945691829,152
Clinton,ap.org,2016-10-12,-0.338434076961403,114
Clinton,ap.org,2016-10-13,-0.374345498053271,107
Clinton,ap.org,2016-10-14,-0.319186067533149,181
Clinton,ap.org,2016-10-15,-0.295187464120408,98
Clinton,ap.org,2016-10-16,-0.294192085210811,74
Clinton,ap.org,2016-10-17,-0.281375567871134,97
Clinton,ap.org,2016-10-18,-0.262368152285714,105
Clinton,ap.org,2016-10-19,-0.26405549472459,61
Clinton,ap.org,2016-10-21,-0.487937003,1
Clinton,ap.org,2016-10-24,-0.144614874427273,11
Clinton,ap.org,2016-10-25,-0.175608694780645,62
Clinton,ap.org,2016-10-26,-0.234054056181905,105
Clinton,ap.org,2016-10-27,-0.188835244952542,118
Clinton,ap.org,2016-10-28,-0.245846135257747,71
Clinton,ap.org,2016-10-29,-0.236260924721333,60
Clinton,ap.org,2016-10-30,-0.275976558393692,96
Clinton,ap.org,2016-10-31,-0.249695285285394,156
Clinton,ap.org,2016-11-01,-0.275808358857707,109
Clinton,ap.org,2016-11-02,-0.263025929896875,80
Clinton,ap.org,2016-11-03,-0.189869127487097,62
Clinton,ap.org,2016-11-04,-0.19541025204,55
Clinton,ap.org,2016-11-05,-0.169966628696235,85
Clinton,ap.org,2016-11-06,-0.170044282053472,144
Clinton,ap.org,2016-11-07,-0.158757857071111,153
Clinton,ap.org,2016-11-08,-0.131881101548565,432
Clinton,ap.org,2016-11-09,-0.176175646311111,18
